Isim,yil,KupaSahibi
Premier League Cup,2021-22,"Manchester City "
Premier League Cup,2020-21,"Manchester City "
Premier League Cup,2019-20,"Liverpool FC "
Premier League Cup,2018-19,"Manchester City "
Premier League Cup,2017-18,"Manchester City "
Premier League Cup,2016-17,"Chelsea FC "
Premier League Cup,2015-16,"Leicester City "
Premier League Cup,2014-15,"Chelsea FC "
Premier League Cup,2013-14,"Manchester City "
Premier League Cup,2012-13,"Manchester United "
Premier League Cup,2011-12,"Manchester City "
Premier League Cup,2010-11,"Manchester United "
Premier League Cup,2009-10,"Chelsea FC "
Premier League Cup,2008-09,"Manchester United "
Premier League Cup,2007-08,"Manchester United "
Premier League Cup,2006-07,"Manchester United "
Premier League Cup,2005-06,"Chelsea FC "
Premier League Cup,2004-05,"Chelsea FC "
Premier League Cup,2003-04,"Arsenal FC "
Premier League Cup,2002-03,"Manchester United "
Premier League Cup,2001-02,"Arsenal FC "
Premier League Cup,2000-01,"Manchester United "