Tc,IsimSoyisim,Uyruk,DogumTarihi
515,Jürgen Klopp,Germany,1967-06-16
516,Erik ten Hag,Netherlands,1970-02-02
517,Pep Guardiola,Spain,1971-01-18
518,Brendan Rodgers,Northern Ireland,1973-01-26
519,Thomas Tuchel,Germany,1973-08-29
520,Paul Heckingbottom,England,1977-07-17
521,Mikel Arteta,Spain,1982-03-26
522,Antonio Conte,Italy,1969-07-31
523,Steven Gerrard,England,1980-05-30
524,Frank Lampard,England,1978-06-20
525,Dean Smith,England,1971-03-19
526,Ralph Hasenhüttl,Austria,1967-08-09
527,David Moyes,Scotland,1963-04-25
528,Eddie Howe,England,1977-11-29
529,Graham Potter,England,1975-05-20
530,Rob Edwards,Wales,1982-12-25
531,Bruno Lage,Portugal,1976-05-12
532,Scott Parker,England,1980-10-13
533,Vincent Kompany,Belgium,1986-04-10
534,Patrick Vieira,France,1976-06-23